
joy , During the period of falling in love 
disgust  ,  In May somebody blamed me that I made him to be caught while dpeeping during the Nursing Test which made me feel disgusted.  
shame  ,  In our class we had a test on Nursing  
guilt  ,  It was on January 1st 1985 when I accidentally broke a Fanta dbottle in a certain bottle store in Zomba.  
joy  ,  I felt joy when I heard over the radio that I had been successful din my Primary School Leaving Certificate Examination and was dselected for Secondary School.  
fear  ,  One day I was busy day dreaming along the road and suddenly I dheard the sound of jamming car braked behind me.  
danger  ,  When I was doing my last year at Secondary School I was robbed of dmy clothes  
sadness  ,  It was on 9th January 1983 when I received a message from home dtelling me that my father passed away on the previous day with a dhistory of cancer of the oesophagus.  
disgust  ,  I was stopped from entering a party while I was at School but I dhad an Invitation card with me.  
shame  ,  In 1972 I failed my Examination because of my own crooky dbehaviour of dodging from Examinations.  
guilt  ,  A child was admitted in hospital with Meningitis.  
joy  ,  When I had an anticipatory honey-moon with my fiancTe.  
fear  ,  When it was found that I had gone out of the school premises dwithout permisssion and at the wrong time.  
danger  ,  When a classmate hit me on my occipital region when I was busy dstudying and concentrating on my classnotes.  
sadness  ,  When my father died.  
disgust  ,  When somebody made me touch human faeces.  
shame  ,  Soiled my short trousers with faeces.  
guilt  ,  When a crawling child got burnt because of my negligence to keep dthe child away from the fire.  
joy  ,  When I heard my name being announced on the radio that I had been dsuccessful in an interview for admittance for a medical Assistant dtraining course.  
fear  ,  One time I was injured when I was playing football at School in dBlantyre.  
danger  ,  One day I was really angry when all my food was eaten by a dog.  
sadness  ,  One day I came across a certain boy who was intruding my dfriendship as lovers with my girlfriend and I was very sad dbecause I didn't expect that girl to disappoint me I regarded her das being very faithful.  
disgust  ,  One time at the hospital I passed near the intensive care room.  
shame  ,  At one occasion I was ashamed of being refused after a proposal for a friendship with a certain girl.  
guilt  ,  I once stole my father's money and denied having done it.  
joy  ,  When I was selected to start Form I at Chilumba Secondary School dout of the 100 pupils I was among the 4 who were successful.  
fear  ,  We went fishing some 5 or 8 kilometers off the shore of Lake dMalawi.  
danger  ,  I was angered by a classmate who poured soup on to my clothes.  
sadness  ,  I was sad when my MCE grades were out.  
disgust  ,  I was dancing Malipenga traditional dance.  
shame  ,  News was spread that I had been found doing sexual intercourse dwith a small girl.  
guilt  ,  I argued with my father on matters concerning marriage.  
joy  ,  I passed my MCE Examination.  
fear  ,  I was studying in class at night.  
danger  ,  Someone told a lie that I had stolen his money.  
sadness  ,  My Uncle was beaten by his troublesome son.  
disgust  ,  I felt disgust when I received visitors at an odd hour.  
shame  ,  I answered a certain question from Dr.  
guilt  ,  I wrote a bad letter to someone concerning our relationship which dwe created ourselves.  
joy  ,  I met a certain lady at Mchesi and I proposed a word of love to dher and at the same time she accepted my proposal.  
fear  ,  My father gave me money for school fees and I didn't pay school dfees instead I spent it on beer and did not tell him about this.  
danger  ,  There was a cup final match between Limbe Leaf Wanderers and dSilver Strikers and someone promised to give me some money for dadmission fee to watch this game.  
sadness  ,  I had received bad news informing me that grandmother and dgrandfather had passed away.  
disgust  ,  It happened that one of my best friends just took my shirt dwithout my knowledge  
shame  ,  I had high-heeled shoes one time  
guilt  ,  I happened to have met one of my teachers in town during working dhours.  
joy  ,  Passing a very difficult examination which I didn't expect - MCE.  
fear  ,  As we were going to Area 10 a dog chased me.  
danger  ,  Brother took my money to use for his own purposes.  
sadness  ,  After hearing the news about the death of my sister  
disgust  ,  After buying a ticket  
shame  ,  I was very much ashamed after a friend beat me at school and I dwas defeated.  
guilt  ,  I hit my cousin badly after she threw away my dresses in a dpit-latrine that the little girl fainted.  
joy  ,  When I was selected to a University College of Nursing.  
fear  ,  When one of my relatives went out at night leaving me and my dfriend alone  
danger  ,  When someone took my writing materials yet I was to write dExaminations in a few minutes.  
sadness  ,  When I failed my Standard 8 Examination for the first time.  
disgust  ,  When a boy whom I refused to be my lover told all his friends dthat I was his girl he has refused me because I was not faithful to him.  
shame  ,  When someone pointed out that I was proud  
guilt  ,  After I had cheated my parents that I had lost my textbooks so they had to send me money.  
joy  ,  I felt joy when I heard my name being called on the radio as one dof the students who had passed the interview of Nursing and was dselected to start Nursing.  
fear  ,  I felt fear when one night my aunt and Uncle left me alone at dtheir house to look after the baby when they went to a party.  
danger  ,  I felt angry at one time when I was chatting with friends and dsuddenly another friend joined us and started opposing any dcomment I added to our chatting.  
sadness  ,  I felt sad when a thief stole all the clothes from my friend's dcupboard at school boarding.  
disgust  ,  I felt disgusted when I was not given money for lunch at school dby my father as a punishment for beating my little brother.  
shame  ,  I felt shame when I was asked by my cousin that I promised to buy dher a birthday present but I didn't buy it for her in front of friends.  
guilt  ,  I felt guilt when my friends were punished to slash grass at the dgound because of making noise in class.  
joy  ,  When I passed my MSCE Exams and was selected to go to college.  
fear  ,  I was with my boyfriend forgetting that I had left the house dunlocked.  
danger  ,  My best friend started moving out with my boyfriend.  
sadness  ,  I was sad when I heard that my cousin died because of being dbewitched by her husband's second wife.  
disgust  ,  My friend promised to take me out for a movie but he didn't turn dup.  
shame  ,  I met a woman who was looking for our house.  
guilt  ,  I went to my boyfrien's house.  
joy  ,  When I was selected to come here.  
fear  ,  Somebody told her friend that she would hit me wherever we would dmeet.  
danger  ,  This was when my boyfriend told me that I was double-crossing him dwith a certain boy.  
sadness  ,  When I heard that my friend had started drinking beer.  
disgust  ,  I went to a party and there were some cakes which weren't good dand had a bad smell.  
shame  ,  One day I was supposed to go to a movie with my boyfriend.  
guilt  ,  I slapped my sister's daughter and after several hours  
joy  ,  When the church choir came one Sunday after being away for some weeks.  
fear  ,  When I came home late one day.  
danger  ,  When a little brother of mine damaged a cassette.  
sadness  ,  I was watching T.  
disgust  ,  I saw a program on T.  
shame  ,  When I decided not to out any longer with a girl whom I liked dquite a lot.  
guilt  ,   No description.  
joy  ,  When I had my first boyfriend.  
fear  ,  I and my cousin went to a filmshow at night.  
danger  ,  During the Xmas holiday  
sadness  ,  When I was transferred from Chichiri Secondary School to St.  
disgust  ,  I felt disgusted when my cousin decided that she would stop going to school saying she wanted to get married.  
shame  ,  When I failed my Primary school leaving Examinations.  
guilt  ,  One time I felt guilty when I told one of my previous boyfriends dwe were through just because I never felt like having one at that dparticular time.  
joy  ,  I was filled with joy when I heard that I had been selected for a dUniversity course.  
fear  ,  Sometime back  
danger  ,  One day I was angry with my friend who went into my drawer and dtook a piece of paper on which I wanted to write a letter and dused it for her business without my knowledge.  
sadness  ,  It was shocking news to me when I received a telegram from home dtelling me that my grandmother had passed away.  
disgust  ,  I was disgusted with my brother's behaviour when he kept throwing dthings away because of his anger  
shame  ,  I was ashamed with my biology lecturer when he asked me a dquestion and I could not answer it.  
guilt  ,  One day I was chatting with children at home.  
joy  ,  I wrote a difficult Exam at one time while in my Secodary School.  
fear  ,  When the week for Exams came.  
danger  ,  Last week a friend of mine called on me and said I was moody and ddifficult to persuade.  
sadness  ,  I experienced this emotion when my grandfather passed away.  
disgust  ,  In my village there was this tax collector who used to cheat dpeople and collected more than was wanted  
shame  ,  I felt ashamed when my lecturer said in class that I dhappened to be the dullest of all.  
guilt  ,  I felt guilty when I was found to be the chief leader of making dnoise in class.  
joy  ,  When I received a beautiful birthday gift form my parents.  
fear  ,  When I was called for an Interview at Kamuzu College of Nursing.  
danger  ,  When I damaged my wristwatch which I liked very much.  
sadness  ,  When my cousin passed away.  
disgust  ,  When my fellow classmates were involved in a quarrel.  
shame  ,  When I failed Psychology examination when most of the students dpassed.  
guilt  ,  When I promised to visit my boyfriend and I didn't fulfil the dpromise.  
joy  ,  I had stayed for months without seeing mother because our dholidays were short and my home is far.  
 Some times  ,   mother came to dsee me at school  
fear  ,  One day during our clinical practices  
danger  ,  It was during the beginning of the term.  
sadness  ,  My best friend had failed Exams.  
disgust  ,  I felt disgusted when my appointment to meet the E.  
shame  ,  I had been telling lies and people discovered instantly that I dwas telling lies.  
guilt  ,  I had spent the weekend visiting relatives and friends and didn't dstudy for Anatomy class on Monday.  
joy  ,  I had an interview for entry into college.  
fear  ,  When I stepped on a snake at home  
danger  ,  I went to a fair where a guy who was drunk kept bothering me and din the end I got really angry.  
sadness  ,  When I heard that my Uncle had passed away in a road traffic daccident.  
disgust  ,  I went to a party with my boyfriend who got so drunk and started dvomiting.  
shame  ,  We were writing Primary school leaving Examinations when I had dfallen at the steps going into the Exam room.  
guilt  ,  I was keeping a friend's Library book which went overdue.  
joy  ,  I was given a gift by my sister.  
fear  ,  I was alone walking in a deserted part of the city and I had some fear that some men would attack me and rob me.  
danger  ,  I wrote an Exam and happened to have not done as well as I dthought I would.  
sadness  ,  I lost my purse that had money in it.  
disgust  ,  I received a letter which was too strong for me.  
shame  ,  A friend of mine was shouting at me in a group of juniors.  
guilt  ,  Before going to school I usually take something to eat right at school and this time I took Father's money without him knowing dit.  
joy  ,  The day I was told that I had passed my Malawi School leaving dExams and I was selected to go to college.  
fear  ,  When I was travelling home by bus and suddenly the bus hit and dthe bus leaned against a wall.  
danger  ,  I was angry when someone stole a magazine which I had borrowed dfrom another friend and locked it in a drawer.  
sadness  ,  When my best friend promised to come at my house and I had to dprepare so many expensive things for her but only to learn at dlast that she would not turn up.  
disgust  ,  I felt disgusted one day when  
shame  ,  I felt ashamed one day when my teacher shouted at me in the dpresence of my boyfriend.  
guilt  ,  I felt guilty one day when I stole a slice of bread in a dcafeteria.  
joy  ,  When I had passed MCE examinations.  
fear  ,  I was afraid when my boyfriend came home because my parents ddisapproved him of his coming home.  
danger  ,  I was angry when my friends said that I should not receive dNursing Science books because there was a rumour that I was dintending to leave the college.  
sadness  ,  When my cousin passed away.  
disgust  ,  When I was a child I broke plates because I wasn't given food on dthe grounds of coming home late.  
shame  ,  I was ashamed of being laughed at by my colleagues when I failed to answer a question in the classroom.  
guilt  ,  I felt guilty after stealing a cookery book from my colleagues.  
joy  ,  I was filled with joy when I heard that I had been selected to come here at Kamuzu College of Nursing.  
fear  ,  I was afraid to walk through the forest one day when I dropped doff the bus around 6.  
danger  ,  I was angry when somebody stole my half petticoat.  
sadness  ,  I felt sad when my father was sick.  
disgust  ,  I felt disgusted when somebody told me that my previous boyfriend dwas her boyfriend.  
shame  ,  I was ashamed when my boyfriend went to sit with another girl dwhen he invited me to come to watch Drama festival.  
guilt  ,  I felt guilt to have come back from home without seeing my father.  
joy  ,  The time I learnt that I had passed my Malawi School leaving certificate Examinations.  
fear  ,  Afraid of a dead body.  
danger  ,  A tailor ran away with my skirt.  
sadness  ,  Cooks refused to give me food.  
disgust  ,  I saw a septic  
shame  ,  I was ashamed when I was being introduced to the church dcongregation.  
guilt  ,  I cheated my boyfriend.  
joy  ,  A boy I had been admiring so much asked me to go out with him.  
fear  ,  I was playing with friends then I decided to splash some sand dinto a car which was moving nearby.  
danger  ,  Sometime back another girl who was in terms with my ex-boyfriend dcame to shout at me at twelve midnight.  
sadness  ,  In May 18th  
disgust  ,  One day I was walking with my boyfriend.  
shame  ,  My father who is very quiet discovered I was going out with a dcoloured boy.  
guilt  ,  I was at a boarding school during my primary school days.  
joy  ,  When I passed standard 8 exams I jumped  
fear  ,  I felt so afraid when dad fell ill  
danger  ,  I was furious when the teacher pointed out in class that I dwas the quietest girl in class.  
sadness  ,  It was extremely sad to me when I heard that a patient who I was dtaking care of in hospital had passed away.  
disgust  ,  I felt this situation when a certain woman from a close village dshouted at my mother because she didn't get what she wanted  
shame  ,  I was ashamed when I got the lowest result mark in class.  
guilt  ,  At one time while at primary school I lost a pencil case of a dfriend and I didn't mention it to her until after a fortnight.  
joy  ,  The time I first saw my cousin who is living in Tanzania.  
shame  ,  I failed my Nutrition paper which was the paper ending the dcourse.  
guilt  ,  When a patient in the ward died one who had been under my care.  
joy  ,  I was filled with joy when I heard that I had passed my Secondary school leaving certificate exam.  
fear  ,  I was afraid when my mother left me alone to live in our house for one month.  
danger  ,  I was angry when my boyfriend did not turn up as promised.  
sadness  ,  I was very sad when I heard that my uncle had passed away duntimely at home.  
disgust  ,  One day my friend told me that she had heard that I was moving dabout with her boyfriend.  
shame  ,  I was walking one day and I met a man who wanted to ask me about dmy brother but I didn't stop to hear what he was saying.  
guilt  ,  I felt guilty when I tore a photograph I found at my boyfriend's place only to realise that it was his sister who was on the dphotograph.  
joy  ,  When my boyfriend came form Rumphi to Lilongwe for a visit I was dvery happy to see him and couldn't believe it was him with me.  
fear  ,  When I dream of anything terrifying I used to have fear for the drest of the day that the dream might come true e.  
  ,   being beaten dor eaten ? by a snake.  
danger  ,  I had been in love with a certain young man who pretended to love dme but one day I found out that he had another girlfriend who was dalso a friend of mine.  
sadness  ,  I wrote a letter to my boyfriend but he couldn't answer it in dtime so as a defence mechanism I just found that I felt so sad dabout it and couldn't talk to anyone.  
disgust  ,  Once I offended a friend  
shame  ,  I was once chatting with friends.  
guilt  ,  One day I found an incontinent man in the ward.  
joy  ,  When I heard that I had passed my end of first year exams and I dwas ready to enter 2nd year because I felt I had failed as they were dvery hard.  
fear  ,  I broke a window of a neighbouring house and I feared my mother's djudgement and action on what I had done.  
danger  ,  The headmistress at a secondary school accused me of banging the dclassroom door when I didn't in front of the whole class.  
sadness  ,  I received a message that my elder brother was involved in a car daccident and was admitted in hospital.  
disgust  ,  The carterer refused to give me sugar to add to my tea saying dthat there was no sugar whilst it was there  
shame  ,  I insulted my friend for a small reason and after time I realised dthat I was wrong and felt ashamed; everytime I meet her I feel dashamed.  
guilt  ,  My patient died of Anaemia while I was organising blood dtransfusion for him  
joy  ,  When I was selected to start Form I at Malosa Secondary school.  
fear  ,  When a thief entered the house in which I was sleeping.  
danger  ,  When my dress was stolen.  
sadness  ,  When my grandmother died after a long illness.  
disgust  ,  When I boarded Yanu Yanu bus I sat near a man who was smoking dtobacco.  
shame  ,  When I refused to fetch water for my aunty while she was busy.  
guilt  ,  When I hit my young sister without a valid reason.  
joy  ,  I was very joyful when I heard that I had passed the standard 8 dexams.  
fear  ,  I was in the house at night and I heard a hyena crying outside.  
danger  ,  I was angry at the Cafeteria when the cook scolded and said many dbad things about me without reason.  
sadness  ,  I was very sad when I heard that my Auntie had passed away.  
disgust  ,  I was disgusted the other day I was told to take off the dog's dfaeces around the house since they smelled bad I did the job but din the end I felt disgusted.  
shame  ,  I was very ashamed when I failed a test in Standard 7.  
guilt  ,  I felt guilty because I stole some sweets from my father's dgrocery.  
joy  ,  When I heard that I had passed my MCE Exam  
fear  ,  When I heard that my father had found a letter from my boyfriend dand he was calling me to talk about it.  
danger  ,  When a certain boy went about saying that I am his girlfriend.  
sadness  ,  When I heard that my father had passed away.  
disgust  ,  When a boy I hated most in our classroom took my T Jersey from my ddesk and put it on.  
shame  ,  When I wet my head or bed ? one day my sister discovered it and reported dit to the other siblings.  
guilt  ,  When I insulted my young sister for a very little misconduct of dputting on my shoes.  
joy  ,  It was in 1983 September when MCE results were being announced on dthe radio.  
fear  ,  I was on my way home when suddenly Gule Wamkulu came from the dbush and blocked the road.  
danger  ,  A certain man went to my parents and told them that I was married dhere  
sadness  ,  When I went home on holidays I found that my niece and nephew had dpassed away I was very sad for the children were not even sick dbefore death but suddenly died.  
disgust  ,  I met a certain lady at the bus depot who was using a bad dlanguage but was a very smart looking lady.  
shame  ,  I wore a dirty dress a certain day I was going to town I met an dold friend who made a comment about my dress so I felt ashamed.  
guilt  ,  One day I shouted at my brother who didn't do any wrong to me donly that I had a disappointment from a friend and projected it don to him.  
joy  ,  I was joyful when I received a present 2 books and a pencil dfrom the headmaster in standard 6 because I had passed  
fear  ,  I went to the prayer meeting at night and unfortunately the car dbroke down  
danger  ,  I was angry the other day because the teacher told me to sweep dsome orange peels.  
sadness  ,  I was very sad when I heard that my brother had failed the dstandard 8 exams for the third time.  
disgust  ,  I was very disgusted the first day I went to put a dead body in dthe Mortuary.  
shame  ,  I was really shameful when my mother beat me in the presence of dmy friends because I didn't cook lunch up until 2 o'clock.  
guilt  ,  I felt guilty the other day because I took two pieces of bread dinstead of one in the Cafeteria and some of the girls were short dof bread.  
joy  ,  I was happy to hear that my sister had won a prize at running dcompetition.  
fear  ,  I was afraid when I met my Uncle because this time I was with my dboyfriend I thought I was not going to be given pocket money.  
danger  ,  I was angry when I had not been granted a leave out pass during dthe last weekend.  
sadness  ,  I was sad to hear that my brother had a motorbike accident.  
disgust  ,  I was disgusted when my little sister had been hit badly by her friends.  
shame  ,  I was ashamed to tell my mother that I fell down with a bicycle.  
guilt  ,  I felt guilty when I had refused to lend money to my friend who dneeded it immediately.  
joy  ,  When my brother bought me a nice pair of shoes from South Africa.  
fear  ,  I was asked to join my friend in a boat at Mangochi Lake Malawi dand when making a turn  
danger  ,  Somebody took my wristwatch and promised to have it mended and dlater was telling me that he couldn't give it back to me because I was drude at a certain time.  
sadness  ,  My boyfriend didn't turn up after promising that he was coming.  
disgust  ,  I was forced to go to a party with someone I didn't love and he dwas telling people that I was his girlfriend.  
shame  ,  When a certain drunk man slapped my buttocks when I was quietly dstanding waiting for a bus.  
guilt  ,  I borrowed my friend's radio cassette and the plug cracked and dsome pieces broke off when the plug dropped off my hands.  
joy  ,  After passing my Malawi Certificate of Education Exam and being dselected to Kamuzu College of Nursing.  
fear  ,  I was sleeping alone in the house at night.  
danger  ,  The patient whom I expected to get well suddenly passed away dafter he showed had his meals.  
sadness  ,  When my grandmother passed away.  
disgust  ,  I was told I shouldn't visit my sister because the holiday was dshort.  
shame  ,  I was the last among the list of failures in my class of Biology.  
guilt  ,  I was to prepare relish for the family.  
joy  ,  The time when my sister had her first baby I was so happy and joyous because she stayed for two days after marriage before she dhad a child.  
fear  ,  Sometime back I used to stay with my mum alone then time came dwhen dad joined the family from his working place I found myself dhaving fear for him for no cause at all.  
danger  ,  I was so angry with a patient who refused to take drugs.  
sadness  ,  When I heard of the death of a friend who had just finished her dtraining I felt very sad for she was young.  
disgust  ,  When I saw a lady putting on a pair of trousers  
shame  ,  Sometime back I was coming from the wards and lice were all over dmy uniform since patient's blankets have a lot of lice.  
guilt  ,  I used to have two boyfriends in the past.  
joy  ,  I felt joyful when I heard that I had been selected for College deducation.  
fear  ,  I was fearful when I realised that the relish was overcooked dsimply because I was not keen enough at checking whether there dwas still enough water in the relish or not  
danger  ,  I felt angry when my friend told me that I had stolen her money.  
sadness  ,  I felt sad when I heard that my cousin had passed away just dsuddenly.  
disgust  ,  I felt disgust when I saw a drunkard vomiting very offensive dmatter.  
shame  ,  I flet shameful when I learnt that I cooked Nsima which was full dof lamps in it.  
guilt  ,  I felt guilty when I learnt that some of friends found the dfinished at the Cafeteria because I took food which was more than dmy share.  
joy  ,  I received money from my father at a time when I was completely dbroken.  
fear  ,  My friend had been telling me about a certain bird which when it dcries at night it's the sign that someone will die.  
danger  ,  One of my friends went and told another friend of mine that I was going abut with another guy in Lilongwe besides the one I had.  
sadness  ,  I received a letter form home telling me that my sister was very sick.  
disgust  ,  Somebody went around spreading news that I like people with dmoney.  
shame  ,  I fell off a bike in the presence of a lot of people.  
guilt  ,  A person misinterpreted what I had told her.  
joy  ,  I was selected to come here University  
fear  ,  I had fear of my father parents when I first became pregnant.  
danger  ,  It was when I discovered that my boyfriend had another girl.  
sadness  ,  My child passed away after a short illness when he was just deleven months old.  
disgust  ,  My father promised to send me pocket money at the month-end since dI wanted to buy a new pair of shoes when I was at secondary school  
shame  ,  I just opened the bathroom without knocking not knowing that dsomeone was bathing inside  
guilt  ,  I beat my young sister because she refused to wash plates.  
joy  ,  Accepted by the college football team.  
fear  ,  Fighting with class mates in Highschool.  
danger  ,  Made mistakes in exam.  
sadness  ,  Failing examn.  
disgust  ,  Given duty by the leaders which I do not like to do.  
shame  ,  Did not finish homework.  
guilt  ,  Make a mistake  
joy  ,  Article published in the college newspaper.  
fear  ,  Walking on a dark street with noone around.  
danger  ,  My friend misunderstood me.  
sadness  ,  My grandmother died.  
disgust  ,  Class leader told me to collect homework for him.  
shame  ,  Did not finish homework.  
guilt  ,  Did not read reference when other people read them.  
joy  ,  Found money on the road and returned it to the owner through dpolice.  
fear  ,  Before examination.  
danger  ,  Listening to long speech of the party leaders wasting my time.  
sadness  ,  My girl-friend left me.  
disgust  ,  People not cueing in the college dining room.  
shame  ,  Saw the film about Eight Nations Army conquering Beijing.  
guilt  ,  No ideal result in the University entrance examn  
joy  ,  Helping in the nursery school.  
fear  ,  Telling my parents that I did not well in an examn.  
danger  ,  My bed sheet present of my parents damaged by roommate.  
sadness  ,  Not being accepted by classmates in university.  
disgust  ,  Waiting for a bus not coming for a long time  
shame  ,  Not having good marks like other people for homeworks.  
guilt  ,  Not handing in homeworks in time.  
joy  ,  Got a present from my friend for my birthday.  
fear  ,  Lost my purse  
danger  ,  South Korea winning more gold medals in the Asian Olympic more dthan China.  
sadness  ,  Saw the village I come from still pay money to buy wife.  
disgust  ,  Saw my roommate messing up our room.  
shame  ,  Found out that I am not good at football.  
guilt  ,  Gave the wrong meal tickets to other people my classmate.  
joy  ,  Coming to this lecture and listen to you talking about feelings  
fear  ,  Damaged the tap in the residental Hall.  
danger  ,  Too many people in TV room  
sadness  ,  My sister marrying a bad man.  
disgust  ,  Saw my brother-in-law insulting my sister.  
shame  ,  My sister was afraid of her husband.  
guilt  ,  I was not able to help my sister to understand that her husband is a bad man before she was married to him.  
joy  ,  Discussing psychology with my friends before the lecture.  
fear  ,  Waking up from a bad dream in a dark night with noone else daround.  
danger  ,  I could not find my monthly tickets for the bus when I was on the dbus.  
sadness  ,  Two little children 5/6 years old begging for money  
disgust  ,  The serving lady in the students' dining hall shouting at dstudennts.  
shame  ,  Sitting on the bus seats supposed for disabled people  
joy  ,  You told me psychology can help people to be happier.  
fear  ,  Left alone in the dining hall at night.  
danger  ,  Bus conductor insulted me for not buying a ticket I forgot.  
sadness  ,  Saw a father beating up his small child.  
disgust  ,  Class leader getting me to do things he did not want to do.  
shame  ,  Not quick enough to help the lectors to catty things for the dlecture.  
guilt  ,  My mother wrote me and said that I would not writ enough letters dhome.  
joy  ,  My parents came to visit me.  
fear  ,  Could not find my way out in the college building at night.  
danger  ,  Saw in the TV South Korea cheating in the Asian Olympic games.  
sadness  ,  General Ye Jianying died.  
disgust  ,  A girl I do not like kept coming to me and talking to me.  
shame  ,  Failing an examn.  
guilt  ,  Made a misjudgement in a football match.  
joy  ,  My friend told me he really likes me.  
fear  ,  Getting lost in a strange place.  
danger  ,  South Korea cheating for gold medals.  
sadness  ,  My friend has to go on field trips  
disgust  ,  When I was the South Koreans on the TV.  
shame  ,  Zhu Jianhau did not break the world record for China.  
guilt  ,  Unable to help my mother to cook.  
joy  ,  I met a friend I had not seen for a long time on the street.  
fear  ,  Going to the examn not well prepared.  
danger  ,  Overhear people talking about me and saying that I am stupid.  
sadness  ,  Hearing about developments of sience in the West a lot better dthan China.  
disgust  ,  Some foreign students playing loud music late at night.  
shame  ,  Not being able to be selected for the dancing team.  
guilt  ,  Did not get up early enough to watch my class football team dplaying against another team.  
joy  ,  Scoared a goal in a football match.  
fear  ,  Left alone in the dark in a big building.  
danger  ,  Someone called me a disgusting nickname.  
sadness  ,  Not getting on with someone of my classmates in high school.  
disgust  ,  A woman picked her nose and spit right next to me.  
shame  ,  Not brave enough to take up a challenge in a group discussion.  
guilt  ,  Not being a good host for a friend from a far away place.  
joy  ,  My class winning against another class in a football match.  
fear  ,  Walking alone in the dark in a strange street.  
danger  ,  A friend forgot his appointment with me.  
sadness  ,  A friend misunderstood me.  
disgust  ,  A boy in my class talking too loud in the lecture.  
shame  ,  Not being able to have a party at home with friends.  
guilt  ,  Being miserable in a party when other people are friendly and dhappy.  
joy  ,  Meeting an old friend from high school.  
fear  ,  Facing a mad dog.  
danger  ,  Misunderstood deliberately by a close friend.  
sadness  ,  My old teacher in primary school died.  
disgust  ,  Getting into a crowded bus.  
shame  ,  Being rude to somebody who was impolite to me.  
guilt  ,  Not accepting hints of intimate relation from a girl.  
joy  ,  My old friend visited me in the university.  
fear  ,  Listening to horrot stories at night.  
danger  ,  My roommate was rude to me.  
sadness  ,  My uncle died in the Vietnam War.  
disgust  ,  Cueing in the students dining hall.  
shame  ,  Arguing about price with private shop-assistant.  
guilt  ,  Not being able to spend more time with a friend who was visiting dme.  
joy  ,  Scoring a goal in football match.  
fear  ,  Finding out that I am not an as able student as I thought.  
danger  ,  I was told to do something I did not want to do.  
sadness  ,  Finding out that China is still backward in science.  
disgust  ,  Doing this pointless questionnaire.  
shame  ,  Insulted by somebody.  
guilt  ,  I am not doing what I should with this questionnaire.  
joy  ,  Saw in TV that China had the most gold medals in the Asian dOlympic.  
fear  ,  Just arrived in the university  
danger  ,  Insulted by teacher.  
sadness  ,  Finding out I am not good looking.  
disgust  ,  Someone I do not like kept talking to me.  
shame  ,  Finding out from this lecture that China is backward in dpsychology.  
guilt  ,  Being rude to someone I do not like.  
joy  ,  Joining in a research group studying consumer's behaviour and dhelping the people in the shop with the sales.  
fear  ,  Diagnosis that I have a stomache ulcer.  
danger  ,  A classmate damaged ma iron and tried to hide the damage.  
sadness  ,  Not winning a medal in the swimming contest.  
disgust  ,  Some students talking when other people are having a nap.  
guilt  ,  A friend asked for help and I was not able to help.  
joy  ,  China winning the Asian Olympic.  
fear  ,  Before an examn.  
danger  ,  Korean judges cheating.  
sadness  ,  My father left us for another woman.  
disgust  ,  Saw my father with that woman he is married to now.  
shame  ,  Had to tell people that my parents are divorced.  
guilt  ,  Not beeing able to stay with my mother for the National Day dholiday.  
joy  ,  Being together with my best friend.  
fear  ,  Almost had a bicycle accident.  
danger  ,  Heard about someone telling lies about me to my best friend.  
sadness  ,  My best friend suddenly acting strange towards me.  
disgust  ,  Saw someone messing up our room.  
shame  ,  After shouting at a friend.  
guilt  ,  Did not do what I promised to do for a friend.  
joy  ,  My best friend chosen for your English lectures.  
fear  ,  Getting ill.  
danger  ,  My class leader told me the university won't let all of us go to dyour lectures because we are not All English Class.  
sadness  ,  When I was not chosen to go to your English lectures.  
 disgust  ,  Finding out that the class leader can go to your lectures  
shame  ,  China cannot let you give more lectures because you are needed in dthe specialist clinics.  
guilt  ,  I hated you for not letting me go and found out that it was not dyour decision.  
sadness  ,  Finding out my best friend cannot go to the English lectures.  
disgust  ,  Heard some postgraduate students talking about girls being dunsiutable to do medicine.  
shame  ,  Failing in an examn.  
guilt  ,  Not being able to convince my class leader that my friend is dbetter than me to go to the English lectures.  
joy  ,  Receiving a letter from a boy I care.  
fear  ,  Watching a horror film.  
danger  ,  My parents do not like my friend and told me not to go out with dhim.  
sadness  ,  My grandmother died.  
disgust  ,  Saw someone spitting in public.  
shame  ,  Failing in an examn because of lazyness.  
guilt  ,  Losing my temper to my sister.  
joy  ,  Finding out that I can go to your English lectures.  
fear  ,  Staying alone in a dark place.  
danger  ,  Being sexually assulted on a bus.  
sadness  ,  Finding out that my best friend could not go to university.  
disgust  ,  Some boys not cueing in the dining hall.  
shame  ,  Watching TV about china is behind in winning gold medals.  
guilt  ,  Not being able to help my friend to do homework.  
joy  ,  Getting into this university.  
fear  ,  Beaten up by a classmate in school.  
danger  ,  Being insulted in public.  
sadness  ,  A girl I love does not love me.  
disgust  ,  Saw some girls dressed up like Americansshame  
guilt  ,  Not handing in homework in time.  
joy  ,  Getting into this university to do medicine.  
fear  ,  First time in anatomy.  
danger  ,  Misunderstood by a close friend for the wrong reason.  
sadness  ,  Finding out that China is poor  
disgust  ,  Foreign students playing loud music in the night before the dbiology examn.  
shame  ,  Finding out that the university police was afraid to stop the foreign students playing loud music China's shame.  
guilt  ,  Not doing well in the examn.  
joy  ,  Aticle published.  
fear  ,  Earth crake.  
danger  ,  Made a statement that other people did not believe.  
sadness  ,  Saw poverty in the countryside.  
disgust  ,  Saw Chinese people flattering foreigners.  
shame  ,  Not being able to argue against class leaders.  
guilt  ,  Could not help a student who needs help.  
joy  ,  China winning the Asian Olympic games.  
fear  ,  Staying alone in the dark.  
